concept,category,
multiple-dispatch,,
mutability,,
immutability,,
type-inference,,
repl,,
package-management,,
unicode-identifiers,,
iterators,,
type-unions,,
in-place-modification,,
broadcasting,,
enumeration,,
error-handling,,
ranges,,
views,,
modules,,
import-and-using,,
scopes,,
docstrings,,
string-interpolation,,
string-multiplication,,
testsets,,
tests,,
doctests,,
named-arguments,,
operators-are-functions,,
functions,,
methods,,
method-signatures,,
optional-arguments,,
higher-order-functions,,
nested-functions,,
anonymous-functions,,
symbols,,
expressions,,
generated-functions,,
macros.using,,
macros.writing,,
string-literals,,
abstract-types,,
type-unions,,
composite-types,,
mutable-composite-types,,
external-constructors,,
internal-constructors,,
type-parameters,,
type-stability,,
type-piracy,,
peformance-analysics,,
benchmarking,,
profiling,,
code-inspection,,
debugging,,
1-based-indexing,,
arbitrary-indexing,,
multidimensional-arrays,,
matrices,,
vectors,,
tuples,,
dicts,,
nothing,,
missing,,
language-interoperability,,
traits,,
